name,cohort_id,cohort_entries,cohort_subjects,database_id
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Apr 2020,135000141,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Apr 2020,136000141,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Apr 2020,137000141,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Apr 2020,138000141,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Index date: Apr 2020,139000141,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Apr 2020,140000141,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Index date: Apr 2020,141000141,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Index date: May 2020,111000151,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Index date: May 2020,112000151,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Index date: May 2020,113000151,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Index date: May 2020,114000151,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Index date: May 2020,115000151,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Index date: May 2020,116000151,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with Index date: May 2020,126000151,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with Index date: May 2020,127000151,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Index date: May 2020,128000151,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with Index date: May 2020,129000151,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: May 2020,130000151,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: May 2020,131000151,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: May 2020,132000151,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Index date: May 2020,133000151,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: May 2020,134000151,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: May 2020,135000151,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: May 2020,136000151,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: May 2020,137000151,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Index date: May 2020,138000151,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Index date: May 2020,139000151,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Index date: May 2020,140000151,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Index date: May 2020,141000151,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Index date: Jun 2020,111000161,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Index date: Jun 2020,112000161,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Index date: Jun 2020,113000161,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Index date: Jun 2020,114000161,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Index date: Jun 2020,115000161,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Index date: Jun 2020,116000161,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with Index date: Jun 2020,126000161,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with Index date: Jun 2020,127000161,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Index date: Jun 2020,128000161,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with Index date: Jun 2020,129000161,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Jun 2020,130000161,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Jun 2020,131000161,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Jun 2020,132000161,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Index date: Jun 2020,133000161,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Jun 2020,134000161,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Jun 2020,135000161,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Jun 2020,136000161,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Jun 2020,137000161,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Jun 2020,138000161,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Index date: Jun 2020,139000161,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Jun 2020,140000161,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Index date: Jun 2020,141000161,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent Type 2 Diabetes Mellitus,111001001,-5,-5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent Type 2 Diabetes Mellitus,112001001,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent Type 2 Diabetes Mellitus,113001001,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent Type 2 Diabetes Mellitus,114001001,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Prevalent Type 2 Diabetes Mellitus,115001001,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Prevalent Type 2 Diabetes Mellitus,116001001,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Prevalent Type 2 Diabetes Mellitus,126001001,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent Type 2 Diabetes Mellitus,127001001,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Prevalent Type 2 Diabetes Mellitus,128001001,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Prevalent Type 2 Diabetes Mellitus,129001001,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Type 2 Diabetes Mellitus,130001001,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Type 2 Diabetes Mellitus,131001001,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Type 2 Diabetes Mellitus,132001001,105,105,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Type 2 Diabetes Mellitus,133001001,108,108,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Type 2 Diabetes Mellitus,134001001,13,13,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Type 2 Diabetes Mellitus,135001001,14,14,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Type 2 Diabetes Mellitus,136001001,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Type 2 Diabetes Mellitus,137001001,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Type 2 Diabetes Mellitus,138001001,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Prevalent Type 2 Diabetes Mellitus,139001001,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Type 2 Diabetes Mellitus,140001001,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with  Prevalent Type 2 Diabetes Mellitus,141001001,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent hypertension,111001011,-5,-5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent hypertension,112001011,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent hypertension,113001011,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent hypertension,114001011,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Prevalent hypertension,115001011,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Prevalent hypertension,116001011,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Prevalent hypertension,126001011,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent hypertension,127001011,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Prevalent hypertension,128001011,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Prevalent hypertension,129001011,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent hypertension,130001011,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent hypertension,131001011,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent hypertension,132001011,150,150,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent hypertension,133001011,154,154,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent hypertension,134001011,14,14,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent hypertension,135001011,15,15,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent hypertension,136001011,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent hypertension,137001011,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent hypertension,138001011,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Prevalent hypertension,139001011,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent hypertension,140001011,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with  Prevalent hypertension,141001011,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent chronic kidney disease,111001021,-5,-5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent chronic kidney disease,112001021,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent chronic kidney disease,113001021,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent chronic kidney disease,114001021,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Prevalent chronic kidney disease,115001021,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Prevalent chronic kidney disease,116001021,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Prevalent chronic kidney disease,126001021,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent chronic kidney disease,127001021,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Prevalent chronic kidney disease,128001021,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Prevalent chronic kidney disease,129001021,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent chronic kidney disease,130001021,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent chronic kidney disease,131001021,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent chronic kidney disease,132001021,150,150,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent chronic kidney disease,133001021,155,155,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent chronic kidney disease,134001021,13,13,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent chronic kidney disease,135001021,14,14,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent chronic kidney disease,136001021,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent chronic kidney disease,137001021,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent chronic kidney disease,138001021,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Prevalent chronic kidney disease,139001021,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent chronic kidney disease,140001021,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with  Prevalent chronic kidney disease,141001021,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent end stage renal disease,111001031,-5,-5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent end stage renal disease,112001031,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent end stage renal disease,113001031,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent end stage renal disease,114001031,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Prevalent end stage renal disease,115001031,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Prevalent end stage renal disease,116001031,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Prevalent end stage renal disease,126001031,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent end stage renal disease,127001031,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Prevalent end stage renal disease,128001031,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Prevalent end stage renal disease,129001031,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent end stage renal disease,130001031,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent end stage renal disease,131001031,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent end stage renal disease,132001031,150,150,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent end stage renal disease,133001031,155,155,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent end stage renal disease,134001031,13,13,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent end stage renal disease,135001031,14,14,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent end stage renal disease,136001031,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent end stage renal disease,137001031,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent end stage renal disease,138001031,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Prevalent end stage renal disease,139001031,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent end stage renal disease,140001031,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with  Prevalent end stage renal disease,141001031,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent heart disease,111001041,-5,-5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent heart disease,112001041,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent heart disease,113001041,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent heart disease,114001041,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Prevalent heart disease,115001041,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Prevalent heart disease,116001041,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Prevalent heart disease,126001041,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent heart disease,127001041,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Prevalent heart disease,128001041,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Prevalent heart disease,129001041,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent heart disease,130001041,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent heart disease,131001041,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent heart disease,132001041,102,102,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent heart disease,133001041,106,106,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent heart disease,134001041,11,11,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent heart disease,135001041,14,14,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent heart disease,136001041,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent heart disease,137001041,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent heart disease,138001041,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Prevalent heart disease,139001041,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent heart disease,140001041,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with  Prevalent heart disease,141001041,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,111001051,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,112001051,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,113001051,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,114001051,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,115001051,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,116001051,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,126001051,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,127001051,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,128001051,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,129001051,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,130001051,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,131001051,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,132001051,28,28,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,133001051,32,32,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,134001051,7,7,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,135001051,10,10,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,136001051,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,137001051,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,138001051,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,139001051,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,140001051,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,141001051,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection,111001061,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent Human immunodeficiency virus infection,112001061,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection,113001061,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent Human immunodeficiency virus infection,114001061,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection,115001061,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Prevalent Human immunodeficiency virus infection,116001061,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection,126001061,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent Human immunodeficiency virus infection,127001061,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection,128001061,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Prevalent Human immunodeficiency virus infection,129001061,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection,130001061,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Human immunodeficiency virus infection,131001061,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection,132001061,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Human immunodeficiency virus infection,133001061,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection,134001061,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Human immunodeficiency virus infection,135001061,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection,136001061,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Human immunodeficiency virus infection,137001061,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection,138001061,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Prevalent Human immunodeficiency virus infection,139001061,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection,140001061,NA,NA,NA
